state,state code,total pop,black pop,bpop pct
.Alaska,AK,738432,23263,0.043
.Alabama,AL,4858979,1251311,0.264
.Arkansas,AR,2978204,449895,0.158
.Arizona,AZ,6828065,259008,0.042
.California,CA,39144818,2299072,0.067
.Colorado,CO,5456574,362296,0.103
.Connecticut,CT,3590886,201737,0.043
.District of Columbia,DC,672228,305074,0.501
.Delaware,DE,945934,191814,0.210
.Florida,FL,20271272,2999862,0.159
.Georgia,GA,10214860,3150435,0.314
.Hawaii,HI,1431603,21424,0.031
.Iowa,IA,3123899,89148,0.027
.Idaho,ID,1654930,9810,0.010
.Illinois,IL,12859995,1866414,0.149
.Indiana,IN,6619680,591397,0.091
.Kansas,KS,2911641,167864,0.062
.Kentucky,KY,4425092,361273,0.082
.Louisiana,LA,4670724,1506534,0.324
.Massachusetts,MA,6794422,528761,0.081
.Maryland,MD,6006401,1798593,0.301
.Maine,ME,1329328,15707,0.010
.Michigan,MI,9922576,1400362,0.142
.Minnesota,MN,5489594,274412,0.046
.Missouri,MO,6083672,704043,0.115
.Mississippi,MS,2992333,1074200,0.373
.Montana,MT,1032949,4027,0.007
.North Carolina,NC,10042802,2048628,0.216
.North Dakota,ND,756927,7960,0.011
.Nebraska,NE,1896190,82885,0.045
.New Hampshire,NH,1330608,15035,0.012
.New Jersey,NJ,8958013,1204826,0.145
.New Mexico,NM,2085109,42550,0.030
.Nevada,NV,2890845,255633,0.090
.New York,NY,19795791,3073800,0.152
.Ohio,OH,11613423,1407681,0.120
.Oklahoma,OK,3911338,277644,0.080
.Oregon,OR,4028977,69206,0.020
.Pennsylvania,PA,12802503,1377689,0.108
.Rhode Island,RI,1056298,79719,0.075
.South Carolina,SC,4896146,1290684,0.285
.South Dakota,SD,858469,10207,0.011
.Tennessee,TN,6600299,1055689,0.168
.Texas,TX,27469114,2979598,0.119
.Utah,UT,2995919,29287,0.013
.Virginia,VA,8382993,1551399,0.199
.Vermont,VT,626042,6277,0.009
.Washington,WA,7170351,240042,0.037
.Wisconsin,WI,5771337,359148,0.061
.West Virginia,WV,1844128,63124,0.036
.Wyoming,WY,586107,4748,0.013
